station,model,mse,mae,rmse,r2,is_best
Wat Khun Samut Chin,SARIMA,0.0023483505674509,0.0417518021843927,0.0484597829901343,0.8905208502628091,1
Wat Khun Samut Chin,RF,0.0044429952590979,0.0551125723849607,0.0666557968904275,0.7928693654199997,0
Wat Khun Samut Chin,LSTM,0.005600232257591,0.062893237682345,0.0748346995556941,0.7389194465299234,0
Laem Chabang Port,SARIMA,0.002094007415795,0.0380092924494399,0.045760325783314,0.9061048952831708,1
Laem Chabang Port,RF,0.0042922378654042,0.0556565097222222,0.065515172787716,0.807536439077672,0
Laem Chabang Port,LSTM,0.0054156700730985,0.061637064879996,0.0735912363878915,0.7571618396430941,0
Upper Gulf Offshore,SARIMA,0.0022177814085446,0.0395416145059645,0.0470933265818489,0.9053258407460268,1
Upper Gulf Offshore,RF,0.0034782456260401,0.0501582537037037,0.0589766532285456,0.8515182880262997,0
Upper Gulf Offshore,LSTM,0.0053000832222471,0.0614938543120468,0.0728016704633018,0.7737464471885831,0
Phetchaburi Bangkawe,SARIMA,0.001622925206509,0.0345008937992325,0.040285545875773,0.9140865087644922,1
Phetchaburi Bangkawe,RF,0.0033159460984367,0.04846123125,0.0575842521739817,0.8244623320145112,0
Phetchaburi Bangkawe,LSTM,0.0046668007598099,0.0559431043765321,0.0683139865606592,0.7529515565056538,0
