station,date,sla_m
Wat Khun Samut Chin,1993-01-01,0.119667
Wat Khun Samut Chin,1993-02-01,-0.021267
Wat Khun Samut Chin,1993-03-01,-0.0292
Wat Khun Samut Chin,1993-04-01,0.022033
Wat Khun Samut Chin,1993-05-01,-0.087933
Wat Khun Samut Chin,1993-06-01,-0.1946
Wat Khun Samut Chin,1993-07-01,-0.205267
Wat Khun Samut Chin,1993-08-01,-0.248333
Wat Khun Samut Chin,1993-09-01,-0.209
Wat Khun Samut Chin,1993-10-01,0.026967
Wat Khun Samut Chin,1993-11-01,0.0173
Wat Khun Samut Chin,1993-12-01,0.1381
Wat Khun Samut Chin,1994-01-01,0.167033
Wat Khun Samut Chin,1994-02-01,0.082367
Wat Khun Samut Chin,1994-03-01,0.1334
Wat Khun Samut Chin,1994-04-01,0.029333
Wat Khun Samut Chin,1994-05-01,-0.087967
Wat Khun Samut Chin,1994-06-01,-0.220067
Wat Khun Samut Chin,1994-07-01,-0.170267
Wat Khun Samut Chin,1994-08-01,-0.163367
Wat Khun Samut Chin,1994-09-01,-0.123767
Wat Khun Samut Chin,1994-10-01,0.056067
Wat Khun Samut Chin,1994-11-01,0.236
Wat Khun Samut Chin,1994-12-01,0.1979
Wat Khun Samut Chin,1995-01-01,0.2093
Wat Khun Samut Chin,1995-02-01,0.036467
Wat Khun Samut Chin,1995-03-01,0.001767
Wat Khun Samut Chin,1995-04-01,-0.048767
Wat Khun Samut Chin,1995-05-01,-0.072267
Wat Khun Samut Chin,1995-06-01,-0.218033
Wat Khun Samut Chin,1995-07-01,-0.164067
Wat Khun Samut Chin,1995-08-01,-0.199733
Wat Khun Samut Chin,1995-09-01,-0.1934
Wat Khun Samut Chin,1995-10-01,-0.073033
Wat Khun Samut Chin,1995-11-01,0.2118
Wat Khun Samut Chin,1995-12-01,0.2115
Wat Khun Samut Chin,1996-01-01,0.109533
Wat Khun Samut Chin,1996-02-01,0.1665
Wat Khun Samut Chin,1996-03-01,-0.047667
Wat Khun Samut Chin,1996-04-01,-0.039133
Wat Khun Samut Chin,1996-05-01,-0.083233
Wat Khun Samut Chin,1996-06-01,-0.155967
Wat Khun Samut Chin,1996-07-01,-0.192433
Wat Khun Samut Chin,1996-08-01,-0.164933
Wat Khun Samut Chin,1996-09-01,-0.169033
Wat Khun Samut Chin,1996-10-01,-0.052867
Wat Khun Samut Chin,1996-11-01,0.083633
Wat Khun Samut Chin,1996-12-01,0.1032
Wat Khun Samut Chin,1997-01-01,0.041867
Wat Khun Samut Chin,1997-02-01,0.0877
Wat Khun Samut Chin,1997-03-01,0.0862
Wat Khun Samut Chin,1997-04-01,-0.075133
Wat Khun Samut Chin,1997-05-01,-0.076633
Wat Khun Samut Chin,1997-06-01,-0.212533
Wat Khun Samut Chin,1997-07-01,-0.143033
Wat Khun Samut Chin,1997-08-01,-0.190067
Wat Khun Samut Chin,1997-09-01,-0.103733
Wat Khun Samut Chin,1997-10-01,-0.053733
Wat Khun Samut Chin,1997-11-01,0.0654
Wat Khun Samut Chin,1997-12-01,0.1868
Wat Khun Samut Chin,1998-01-01,0.1189
Wat Khun Samut Chin,1998-02-01,0.020767
Wat Khun Samut Chin,1998-03-01,0.1036
Wat Khun Samut Chin,1998-04-01,-0.031433
Wat Khun Samut Chin,1998-05-01,-0.0389
Wat Khun Samut Chin,1998-06-01,-0.1895
Wat Khun Samut Chin,1998-07-01,-0.234433
Wat Khun Samut Chin,1998-08-01,-0.127
Wat Khun Samut Chin,1998-09-01,-0.1615
Wat Khun Samut Chin,1998-10-01,-0.095667
Wat Khun Samut Chin,1998-11-01,-0.025
Wat Khun Samut Chin,1998-12-01,0.1445
Wat Khun Samut Chin,1999-01-01,0.152767
Wat Khun Samut Chin,1999-02-01,0.0534
Wat Khun Samut Chin,1999-03-01,0.0136
Wat Khun Samut Chin,1999-04-01,-0.047233
Wat Khun Samut Chin,1999-05-01,-0.117267
Wat Khun Samut Chin,1999-06-01,-0.1396
Wat Khun Samut Chin,1999-07-01,-0.219633
Wat Khun Samut Chin,1999-08-01,-0.186667
Wat Khun Samut Chin,1999-09-01,-0.1274
Wat Khun Samut Chin,1999-10-01,-0.010533
Wat Khun Samut Chin,1999-11-01,0.0633
Wat Khun Samut Chin,1999-12-01,0.0725
Wat Khun Samut Chin,2000-01-01,0.128533
Wat Khun Samut Chin,2000-02-01,0.0936
Wat Khun Samut Chin,2000-03-01,0.099567
Wat Khun Samut Chin,2000-04-01,-0.037067
Wat Khun Samut Chin,2000-05-01,-0.150467
Wat Khun Samut Chin,2000-06-01,-0.100933
Wat Khun Samut Chin,2000-07-01,-0.133
Wat Khun Samut Chin,2000-08-01,-0.195033
Wat Khun Samut Chin,2000-09-01,-0.085767
Wat Khun Samut Chin,2000-10-01,-0.0509
Wat Khun Samut Chin,2000-11-01,0.101133
Wat Khun Samut Chin,2000-12-01,0.1371
Wat Khun Samut Chin,2001-01-01,0.147067
Wat Khun Samut Chin,2001-02-01,0.182133
Wat Khun Samut Chin,2001-03-01,0.023033
Wat Khun Samut Chin,2001-04-01,-0.011333
Wat Khun Samut Chin,2001-05-01,-0.126833
Wat Khun Samut Chin,2001-06-01,-0.1368
Wat Khun Samut Chin,2001-07-01,-0.1466
Wat Khun Samut Chin,2001-08-01,-0.215233
Wat Khun Samut Chin,2001-09-01,-0.0771
Wat Khun Samut Chin,2001-10-01,-0.0281
Wat Khun Samut Chin,2001-11-01,0.136867
Wat Khun Samut Chin,2001-12-01,0.196233
Wat Khun Samut Chin,2002-01-01,0.186
Wat Khun Samut Chin,2002-02-01,0.1498
Wat Khun Samut Chin,2002-03-01,0.057
Wat Khun Samut Chin,2002-04-01,0.071967
Wat Khun Samut Chin,2002-05-01,-0.040333
Wat Khun Samut Chin,2002-06-01,-0.120867
Wat Khun Samut Chin,2002-07-01,-0.103
Wat Khun Samut Chin,2002-08-01,-0.2179
Wat Khun Samut Chin,2002-09-01,-0.141533
Wat Khun Samut Chin,2002-10-01,0.024933
Wat Khun Samut Chin,2002-11-01,0.090833
Wat Khun Samut Chin,2002-12-01,0.1281
Wat Khun Samut Chin,2003-01-01,0.197767
Wat Khun Samut Chin,2003-02-01,0.174967
Wat Khun Samut Chin,2003-03-01,0.131933
Wat Khun Samut Chin,2003-04-01,0.023867
Wat Khun Samut Chin,2003-05-01,-0.111133
Wat Khun Samut Chin,2003-06-01,-0.137233
Wat Khun Samut Chin,2003-07-01,-0.136067
Wat Khun Samut Chin,2003-08-01,-0.135867
Wat Khun Samut Chin,2003-09-01,-0.1007
Wat Khun Samut Chin,2003-10-01,0.001367
Wat Khun Samut Chin,2003-11-01,0.195933
Wat Khun Samut Chin,2003-12-01,0.337
Wat Khun Samut Chin,2004-01-01,0.172233
Wat Khun Samut Chin,2004-02-01,0.148867
Wat Khun Samut Chin,2004-03-01,0.039767
Wat Khun Samut Chin,2004-04-01,-0.0549
Wat Khun Samut Chin,2004-05-01,-0.082467
Wat Khun Samut Chin,2004-06-01,-0.137233
Wat Khun Samut Chin,2004-07-01,-0.118833
Wat Khun Samut Chin,2004-08-01,-0.179067
Wat Khun Samut Chin,2004-09-01,-0.091767
Wat Khun Samut Chin,2004-10-01,0.1394
Wat Khun Samut Chin,2004-11-01,0.1937
Wat Khun Samut Chin,2004-12-01,0.260667
Wat Khun Samut Chin,2005-01-01,0.212933
Wat Khun Samut Chin,2005-02-01,0.131133
Wat Khun Samut Chin,2005-03-01,0.118833
Wat Khun Samut Chin,2005-04-01,-0.0238
Wat Khun Samut Chin,2005-05-01,-0.124233
Wat Khun Samut Chin,2005-06-01,-0.172033
Wat Khun Samut Chin,2005-07-01,-0.2052
Wat Khun Samut Chin,2005-08-01,-0.1761
Wat Khun Samut Chin,2005-09-01,-0.199833
Wat Khun Samut Chin,2005-10-01,-0.036267
Wat Khun Samut Chin,2005-11-01,0.090367
Wat Khun Samut Chin,2005-12-01,0.129467
Wat Khun Samut Chin,2006-01-01,0.122567
Wat Khun Samut Chin,2006-02-01,0.160433
Wat Khun Samut Chin,2006-03-01,0.087733
Wat Khun Samut Chin,2006-04-01,-0.043367
Wat Khun Samut Chin,2006-05-01,-0.014967
Wat Khun Samut Chin,2006-06-01,-0.1377
Wat Khun Samut Chin,2006-07-01,-0.156367
Wat Khun Samut Chin,2006-08-01,-0.1322
Wat Khun Samut Chin,2006-09-01,-0.0816
Wat Khun Samut Chin,2006-10-01,0.061467
Wat Khun Samut Chin,2006-11-01,0.1671
Wat Khun Samut Chin,2006-12-01,0.234667
Wat Khun Samut Chin,2007-01-01,0.160767
Wat Khun Samut Chin,2007-02-01,-0.0601
Wat Khun Samut Chin,2007-03-01,0.054967
Wat Khun Samut Chin,2007-04-01,0.024067
Wat Khun Samut Chin,2007-05-01,-0.073533
Wat Khun Samut Chin,2007-06-01,-0.105733
Wat Khun Samut Chin,2007-07-01,-0.2405
Wat Khun Samut Chin,2007-08-01,-0.1507
Wat Khun Samut Chin,2007-09-01,-0.1433
Wat Khun Samut Chin,2007-10-01,0.010567
Wat Khun Samut Chin,2007-11-01,0.2321
Wat Khun Samut Chin,2007-12-01,0.184833
Wat Khun Samut Chin,2008-01-01,0.1816
Wat Khun Samut Chin,2008-02-01,0.2042
Wat Khun Samut Chin,2008-03-01,0.067833
Wat Khun Samut Chin,2008-04-01,0.000467
Wat Khun Samut Chin,2008-05-01,-0.0356
Wat Khun Samut Chin,2008-06-01,-0.127133
Wat Khun Samut Chin,2008-07-01,-0.144567
Wat Khun Samut Chin,2008-08-01,-0.118033
Wat Khun Samut Chin,2008-09-01,-0.077933
Wat Khun Samut Chin,2008-10-01,-0.034633
Wat Khun Samut Chin,2008-11-01,0.155533
Wat Khun Samut Chin,2008-12-01,0.2445
Wat Khun Samut Chin,2009-01-01,0.163433
Wat Khun Samut Chin,2009-02-01,0.061467
Wat Khun Samut Chin,2009-03-01,0.049467
Wat Khun Samut Chin,2009-04-01,-0.0208
