Station,Station_TH,Month,Month_TH,Mean_m,SD_m,Min_m,Max_m,N_years,Mean_detrended_m
Wat Khun Samut Chin,วัดขุนสมุทรจีน,1,ม.ค.,0.206179,0.076467,0.041867,0.380233,32,0.176215
Wat Khun Samut Chin,วัดขุนสมุทรจีน,2,ก.พ.,0.15538,0.098038,-0.0601,0.321167,32,0.125004
Wat Khun Samut Chin,วัดขุนสมุทรจีน,3,มี.ค.,0.099274,0.07538,-0.047667,0.255633,32,0.068486
Wat Khun Samut Chin,วัดขุนสมุทรจีน,4,เม.ย.,0.028536,0.063677,-0.075133,0.150533,32,-0.002663
Wat Khun Samut Chin,วัดขุนสมุทรจีน,5,พ.ค.,-0.047782,0.060981,-0.150467,0.093033,32,-0.079393
Wat Khun Samut Chin,วัดขุนสมุทรจีน,6,มิ.ย.,-0.130302,0.057917,-0.220067,0.008767,32,-0.162324
Wat Khun Samut Chin,วัดขุนสมุทรจีน,7,ก.ค.,-0.128054,0.06181,-0.2405,0.007367,32,-0.160487
Wat Khun Samut Chin,วัดขุนสมุทรจีน,8,ส.ค.,-0.130559,0.064347,-0.248333,0.021967,32,-0.163404
Wat Khun Samut Chin,วัดขุนสมุทรจีน,9,ก.ย.,-0.103141,0.055309,-0.209,0.023967,32,-0.136397
Wat Khun Samut Chin,วัดขุนสมุทรจีน,10,ต.ค.,0.032577,0.067144,-0.095667,0.1544,32,-0.001091
Wat Khun Samut Chin,วัดขุนสมุทรจีน,11,พ.ย.,0.172646,0.077997,-0.025,0.289967,32,0.138567
Wat Khun Samut Chin,วัดขุนสมุทรจีน,12,ธ.ค.,0.231977,0.077104,0.0725,0.376467,32,0.197486
Laem Chabang Port,ท่าเรือแหลมฉบัง,1,ม.ค.,0.212281,0.071113,0.080975,0.382175,32,0.181141
Laem Chabang Port,ท่าเรือแหลมฉบัง,2,ก.พ.,0.155813,0.092235,-0.04575,0.32735,32,0.124279
Laem Chabang Port,ท่าเรือแหลมฉบัง,3,มี.ค.,0.097908,0.073769,-0.034425,0.256875,32,0.06598
Laem Chabang Port,ท่าเรือแหลมฉบัง,4,เม.ย.,0.025905,0.060121,-0.0634,0.15805,32,-0.006417
Laem Chabang Port,ท่าเรือแหลมฉบัง,5,พ.ค.,-0.054869,0.057993,-0.153875,0.0665,32,-0.087584
Laem Chabang Port,ท่าเรือแหลมฉบัง,6,มิ.ย.,-0.137734,0.048491,-0.226425,-0.029575,32,-0.170843
Laem Chabang Port,ท่าเรือแหลมฉบัง,7,ก.ค.,-0.133697,0.055316,-0.231125,-0.0163,32,-0.1672
Laem Chabang Port,ท่าเรือแหลมฉบัง,8,ส.ค.,-0.131973,0.058041,-0.2298,0.006475,32,-0.165869
Laem Chabang Port,ท่าเรือแหลมฉบัง,9,ก.ย.,-0.09768,0.051917,-0.19445,0.019925,32,-0.13197
Laem Chabang Port,ท่าเรือแหลมฉบัง,10,ต.ค.,0.044686,0.06504,-0.089,0.16935,32,0.010002
