Station,Feature,Feature_Label,Feature_Group,MDI_Importance,MDI_Std_Across_Trees,Perm_Test_dRMSE_m,Perm_Test_Std_m,Perm_TrainVal_dRMSE_m,Perm_TrainVal_Std_m,RF_n_estimators,RF_max_features,RF_min_samples_leaf,N_TrainVal,N_Test,Perm_N_Repeats,MDI_Rank,Perm_Test_Rank
Wat Khun Samut Chin,SLA_hist,SLA (t),SLA history,0.09772166826543241,0.1336854307437325,0.014065522699955181,0.0030593508872932764,0.02994254784639206,0.00123978238059566,200,0.5,2,311,60,30,3,2
Wat Khun Samut Chin,SST,SST (t),ERA5 forcing,0.02193693801560469,0.012760542841042923,-0.00033285362145317416,0.0011791831124484003,0.007908989801286579,0.0005857848920201617,200,0.5,2,311,60,30,9,11
Wat Khun Samut Chin,SLP,SLP (t),ERA5 forcing,0.2672994705279755,0.2810691169014694,0.013302187743894323,0.0031347199450119266,0.03155122499488142,0.0013070972153565715,200,0.5,2,311,60,30,2,3
Wat Khun Samut Chin,u10,u10 (t),ERA5 forcing,0.05201186499908499,0.12884427550542715,0.0014282854131558785,0.0005255180485280475,0.006298596960355518,0.0002993083760803582,200,0.5,2,311,60,30,6,8
Wat Khun Samut Chin,v10,v10 (t),ERA5 forcing,0.3042783905827145,0.272982437236061,0.03065307385867283,0.005029611910742085,0.051937676904694655,0.002433901941886944,200,0.5,2,311,60,30,1,1
Wat Khun Samut Chin,SLA_lag1,SLA (t-1),SLA history,0.01633349855207974,0.010984692198537736,0.0010226512331676786,0.00042078728083798367,0.004861799842832975,0.00025173007932563637,200,0.5,2,311,60,30,11,10
Wat Khun Samut Chin,SLA_lag3,SLA (t-3),SLA history,0.025538899185930462,0.025962428500491613,0.0020673915357006297,0.0008601040061114051,0.006872241830421762,0.0005559722332238793,200,0.5,2,311,60,30,8,6
Wat Khun Samut Chin,SLA_lag6,SLA (t-6),SLA history,0.018142196279122547,0.01854874776077852,0.0018212639578171915,0.0005846582769409526,0.006691131121841017,0.0005003591259165845,200,0.5,2,311,60,30,10,7
Wat Khun Samut Chin,SLA_lag12,SLA (t-12),SLA history,0.06794607909848792,0.10812073485488928,0.005820389299834179,0.0016844340128078443,0.02048120820029932,0.001079700725788923,200,0.5,2,311,60,30,5,5
Wat Khun Samut Chin,month_sin,month_sin,Seasonal,0.034657961070136925,0.05373800952671612,0.0013351079907050196,0.0009013548715170518,0.0065903482071548525,0.0005316398286109748,200,0.5,2,311,60,30,7,9
Wat Khun Samut Chin,month_cos,month_cos,Seasonal,0.0941330334234303,0.14881889947990115,0.012167388972307033,0.0028803619486897723,0.02580474544589307,0.0014687858725594425,200,0.5,2,311,60,30,4,4
Laem Chabang Port,SLA_hist,SLA (t),SLA history,0.10214893457806684,0.14469935000171155,0.01558850493333291,0.003218207428304521,0.03324135746836519,0.0011380440103385633,300,sqrt,1,311,60,30,4,3
