station,date,sst_c,slp_hpa,u10_ms,v10_ms
Wat Khun Samut Chin,1993-01-01,26.860504,1012.831238,-0.81883,0.329417
Wat Khun Samut Chin,1993-02-01,26.835114,1012.67688,-0.133518,1.964482
Wat Khun Samut Chin,1993-03-01,28.491608,1010.757812,0.046761,3.200713
Wat Khun Samut Chin,1993-04-01,29.767487,1009.375305,0.002074,3.309589
Wat Khun Samut Chin,1993-05-01,30.61026,1008.1203,0.111753,3.514263
Wat Khun Samut Chin,1993-06-01,30.722076,1007.272827,1.587747,2.282773
Wat Khun Samut Chin,1993-07-01,30.472076,1006.415283,2.261349,2.307688
Wat Khun Samut Chin,1993-08-01,30.019928,1008.237183,2.010496,2.15945
Wat Khun Samut Chin,1993-09-01,29.723297,1008.669373,1.11432,1.217187
Wat Khun Samut Chin,1993-10-01,29.171051,1011.514709,-1.086417,-0.663221
Wat Khun Samut Chin,1993-11-01,28.765778,1011.185303,-0.91358,-1.329479
Wat Khun Samut Chin,1993-12-01,27.389801,1013.42627,-1.296499,-2.330174
Wat Khun Samut Chin,1994-01-01,26.569489,1011.629089,-0.470622,0.801599
Wat Khun Samut Chin,1994-02-01,28.122223,1009.715637,0.090753,3.354459
Wat Khun Samut Chin,1994-03-01,28.927155,1011.138123,-0.392959,2.119946
Wat Khun Samut Chin,1994-04-01,30.464996,1008.224976,0.123134,3.225722
Wat Khun Samut Chin,1994-05-01,30.67691,1006.929077,0.794575,2.239564
Wat Khun Samut Chin,1994-06-01,30.411285,1006.027161,1.829498,2.703717
Wat Khun Samut Chin,1994-07-01,29.660065,1006.154663,2.59748,2.470456
Wat Khun Samut Chin,1994-08-01,29.289703,1007.367798,2.139757,2.167213
Wat Khun Samut Chin,1994-09-01,29.16275,1008.450012,1.414942,1.217159
Wat Khun Samut Chin,1994-10-01,29.211578,1011.585938,-0.65012,-0.642741
Wat Khun Samut Chin,1994-11-01,28.139801,1012.607483,-1.576535,-1.957285
Wat Khun Samut Chin,1994-12-01,27.972321,1012.785339,-0.935782,-1.30372
Wat Khun Samut Chin,1995-01-01,27.22403,1013.150635,-0.901953,0.161179
Wat Khun Samut Chin,1995-02-01,27.680817,1012.15625,-0.535878,2.284706
Wat Khun Samut Chin,1995-03-01,29.001617,1009.876892,-0.008522,3.528397
Wat Khun Samut Chin,1995-04-01,30.467682,1008.626587,0.110893,3.972386
