station,feature,feature_label,feature_group,mdi_importance,mdi_std_across_trees,perm_test_drmse_m,perm_test_std_m,mdi_rank,perm_test_rank
Wat Khun Samut Chin,SLA_hist,SLA (t),SLA history,0.0977216682654324,0.1336854307437325,0.0140655226999551,0.0030593508872932,3,2
Wat Khun Samut Chin,SST,SST (t),ERA5 forcing,0.0219369380156046,0.0127605428410429,-0.0003328536214531,0.0011791831124484,9,11
Wat Khun Samut Chin,SLP,SLP (t),ERA5 forcing,0.2672994705279755,0.2810691169014694,0.0133021877438943,0.0031347199450119,2,3
Wat Khun Samut Chin,u10,u10 (t),ERA5 forcing,0.0520118649990849,0.1288442755054271,0.0014282854131558,0.000525518048528,6,8
Wat Khun Samut Chin,v10,v10 (t),ERA5 forcing,0.3042783905827145,0.272982437236061,0.0306530738586728,0.005029611910742,1,1
Wat Khun Samut Chin,SLA_lag1,SLA (t-1),SLA history,0.0163334985520797,0.0109846921985377,0.0010226512331676,0.0004207872808379,11,10
Wat Khun Samut Chin,SLA_lag3,SLA (t-3),SLA history,0.0255388991859304,0.0259624285004916,0.0020673915357006,0.0008601040061114,8,6
Wat Khun Samut Chin,SLA_lag6,SLA (t-6),SLA history,0.0181421962791225,0.0185487477607785,0.0018212639578171,0.0005846582769409,10,7
Wat Khun Samut Chin,SLA_lag12,SLA (t-12),SLA history,0.0679460790984879,0.1081207348548892,0.0058203892998341,0.0016844340128078,5,5
Wat Khun Samut Chin,month_sin,month_sin,Seasonal,0.0346579610701369,0.0537380095267161,0.001335107990705,0.000901354871517,7,9
Wat Khun Samut Chin,month_cos,month_cos,Seasonal,0.0941330334234303,0.1488188994799011,0.012167388972307,0.0028803619486897,4,4
Laem Chabang Port,SLA_hist,SLA (t),SLA history,0.1021489345780668,0.1446993500017115,0.0155885049333329,0.0032182074283045,4,3
Laem Chabang Port,SST,SST (t),ERA5 forcing,0.024963990305831,0.0200227952210782,-0.0008303475365797,0.0010471832428637,11,11
Laem Chabang Port,SLP,SLP (t),ERA5 forcing,0.1919457381881587,0.2471787654745754,0.0068312800324103,0.0020255466727538,2,5
Laem Chabang Port,u10,u10 (t),ERA5 forcing,0.0892460693299967,0.1797254371593558,0.0033896949258529,0.0008036828034067,5,6
Laem Chabang Port,v10,v10 (t),ERA5 forcing,0.230961508975746,0.2675538959842876,0.0211072787882503,0.003952877431047,1,2
Laem Chabang Port,SLA_lag1,SLA (t-1),SLA history,0.0271487143588658,0.0337544470451639,0.001105962409161,0.0006238821833836,10,10
Laem Chabang Port,SLA_lag3,SLA (t-3),SLA history,0.0419961219687771,0.0472119665049795,0.0025248266539729,0.0010280550254853,7,7
Laem Chabang Port,SLA_lag6,SLA (t-6),SLA history,0.036894836096158,0.0824543581007209,0.0020243562193075,0.0005815147357974,8,8
Laem Chabang Port,SLA_lag12,SLA (t-12),SLA history,0.0871838442067267,0.1525364702900715,0.0069563442597832,0.0019072813151511,6,4
Laem Chabang Port,month_sin,month_sin,Seasonal,0.0282081075461077,0.0442017293622594,0.001444062417485,0.0007219724605879,9,9
Laem Chabang Port,month_cos,month_cos,Seasonal,0.1393021344455652,0.1937192407768934,0.0222956713446277,0.0040225604274738,3,1
Upper Gulf Offshore,SLA_hist,SLA (t),SLA history,0.0865450720160162,0.1314019209739304,0.0139399123192491,0.0032631575753172,4,3
Upper Gulf Offshore,SST,SST (t),ERA5 forcing,0.0211793272058158,0.0116055879424433,-0.0005125567071034,0.001539212007202,9,11
Upper Gulf Offshore,SLP,SLP (t),ERA5 forcing,0.2115665360250794,0.2533136732874368,0.0059474256921807,0.0022395796031114,2,5
Upper Gulf Offshore,u10,u10 (t),ERA5 forcing,0.0139268840041816,0.0112821409765926,0.0022386704157221,0.0005265285361133,11,8
Upper Gulf Offshore,v10,v10 (t),ERA5 forcing,0.3243091905514702,0.2982024352641073,0.0355032372267884,0.0058012624245369,1,1
Upper Gulf Offshore,SLA_lag1,SLA (t-1),SLA history,0.0169603582486033,0.0130253935908749,0.0015087738804998,0.0006239185799082,10,10
Upper Gulf Offshore,SLA_lag3,SLA (t-3),SLA history,0.0268968817402264,0.0366705550266788,0.003064147939186,0.0008371797617527,7,7
Upper Gulf Offshore,SLA_lag6,SLA (t-6),SLA history,0.0243319445709966,0.0541942564521768,0.0031213623695791,0.0009699516342612,8,6
